City,Fuel Type Code,State,EV Total Port Count (Beta)
bedford heights,ELEC,OH,3.0
bedford hills,ELEC,NY,11.0
bedminster,ELEC,NJ,12.0
bee cave,ELEC,TX,14.0
beebe,ELEC,AR,2.0
beech island,ELEC,SC,3.0
beeville,ELEC,TX,2.0
bel air,ELEC,MD,61.0
belair,ELEC,MD,2.0
belcamp,ELEC,MD,2.0
belchertown,ELEC,MA,2.0
belfair,ELEC,WA,4.0
belfast,ELEC,ME,8.0
belgrade,ELEC,MT,10.0
bell,ELEC,CA,8.0
bell gardens,ELEC,CA,1.0
bellaire,ELEC,MI,2.0
bellbrook,ELEC,OH,4.0
belle chasse,ELEC,LA,26.0
belle mead,ELEC,NJ,4.0
belle plaine,ELEC,KS,6.0
belle vernon,ELEC,PA,7.0
bellefontaine,ELEC,OH,6.0
bellefonte,ELEC,PA,21.0
belleville,ELEC,MI,10.0
bellevue,ELEC,WA,633.0
bellflower,ELEC,CA,43.0
bellingham,ELEC,WA,108.0
bellmawr,ELEC,NJ,3.0
bellmead,ELEC,TX,28.0
bellmore,ELEC,NY,4.0
bellows falls,ELEC,VT,3.0
bellville,ELEC,OH,2.0
bellvue,ELEC,CO,4.0
belmont,ELEC,NC,77.0
beloit,ELEC,WI,3.0
belpre,ELEC,OH,2.0
belton,ELEC,MO,36.0
beltsville,ELEC,MD,25.0
belvedere,ELEC,CA,5.0
belvedere tiburon,ELEC,CA,14.0
belvidere,ELEC,IL,5.0
bemidji,ELEC,MN,23.0
benbrook,ELEC,TX,4.0
bend,ELEC,OR,113.0
benicia,ELEC,CA,8.0
bennett,ELEC,CO,6.0
bennettsville,ELEC,SC,2.0
bennington,ELEC,VT,26.0
bensalem,ELEC,PA,55.0
bensenville,ELEC,IL,2.0
benson,ELEC,NC,14.0
bentleyville,ELEC,PA,1.0
benton,ELEC,AR,10.0
benton city,ELEC,WA,3.0
benton harbor,ELEC,MI,34.0
bentonville,ELEC,AR,93.0
berea,ELEC,KY,23.0
bergen,ELEC,NY,4.0
bergenfield,ELEC,NJ,1.0
berkeley,ELEC,CA,183.0
berkeley heights,ELEC,NJ,9.0
berkeley springs,ELEC,WV,11.0
berkley,ELEC,MI,6.0
berlin,ELEC,CT,39.0
bernalillo,ELEC,NM,4.0
bernard,ELEC,ME,1.0
bernards,ELEC,NJ,7.0
bernardsville,ELEC,NJ,2.0
berne,ELEC,IN,1.0
berryville,ELEC,VA,5.0
berthoud,ELEC,CO,12.0
berwick,ELEC,PA,2.0
berwyn,ELEC,PA,16.0
berwyn heights,ELEC,MD,4.0
bessemer,ELEC,AL,8.0
bessemer city,ELEC,NC,4.0
bethany,ELEC,MO,12.0
bethany beach,ELEC,DE,12.0
bethel,ELEC,VT,24.0
bethel park,ELEC,PA,8.0
bethesda,ELEC,MD,198.0
bethlehem,ELEC,PA,71.0
bettendorf,ELEC,IA,16.0
betterton,ELEC,MD,2.0
beulah,ELEC,ND,2.0
beverly,ELEC,MA,78.0
beverly hills,ELEC,CA,126.0
bevington,ELEC,IA,2.0
bexley,ELEC,OH,5.0
biddeford,ELEC,ME,17.0
big bear lake,ELEC,CA,15.0
big flats,ELEC,NY,2.0
big pine key,ELEC,FL,8.0
big pool,ELEC,MD,4.0
big rapids,ELEC,MI,14.0
big sky,ELEC,MT,16.0
big spring,ELEC,TX,19.0
big stone gap,ELEC,VA,4.0
big sur,ELEC,CA,17.0
big timber,ELEC,MT,4.0
bigfork,ELEC,MT,1.0
biglake,ELEC,TX,2.0
biglerville,ELEC,PA,1.0
billerica,ELEC,MA,14.0
billings,ELEC,MT,39.0
biloxi,ELEC,MS,36.0
bingen,ELEC,WA,3.0
binger,ELEC,OK,4.0
bingham farms,ELEC,MI,4.0
binghamton,ELEC,NY,43.0
birch run,ELEC,MI,7.0
birchwood,ELEC,WI,1.0
