City,State,Total EV Chargers,Median Income (16 and over),Total Population
Murfreesboro,Tennessee,82,38834,162402
Murrieta,California,63,52808,113774
Nampa,Idaho,22,38106,110932
Napa,California,259,58418,78308
Naperville,Illinois,61,74615,148508
Nashua,New Hampshire,31,56234,91162
New bedford,Massachusetts,42,40150,100676
New braunfels,Texas,46,50331,98643
New britain,Connecticut,43,34383,74408
New haven,Connecticut,173,40611,138909
New orleans,Louisiana,140,41857,369749
New rochelle,New York,64,63677,82292
New york,New York,1153,51600,8335897
Newark,New Jersey,372,35828,305339
Newport beach,California,221,90534,83981
Newport news,Virginia,89,40416,184306
Newton,Massachusetts,113,94832,87382
Noblesville,Indiana,10,55500,74262
Norfolk,Virginia,167,36897,232995
Norman,Oklahoma,51,34914,129624
North charleston,South Carolina,60,40752,118604
North las vegas,Nevada,29,41735,280539
North port,Florida,8,40256,85102
North richland hills,Texas,17,57783,70666
Norwalk,California,108,41870,98537
Norwalk,Connecticut,108,41870,91381
Norwalk,California,108,50429,98537
Norwalk,Connecticut,108,50429,91381
Novi,Michigan,45,73088,66375
O'fallon,Missouri,7,57424,93648
Oakland,California,585,61487,430531
Ocala,Florida,30,31732,65498
Oceanside,California,85,44970,172190
Odessa,Texas,20,47328,116669
Ogden,Utah,68,40736,86813
Olathe,Kansas,101,54295,145597
Omaha,Nebraska,184,44733,485146
Ontario,California,251,41621,179062
Orange,California,242,53368,136175
Orem,Utah,57,36275,95918
Orlando,Florida,814,41875,316086
Oshkosh,Wisconsin,16,35461,65934
Overland park,Kansas,327,60336,197747
Oxnard,California,106,37442,200437
Palm bay,Florida,26,40849,129246
Palm coast,Florida,29,40853,98411
Palmdale,California,159,45562,163455
Palo alto,California,654,116507,66021
Parma,Ohio,6,42844,79356
Pasadena,California,677,61066,134214
Pasadena,Texas,677,61066,147665
Pasadena,California,677,36002,134214
Pasadena,Texas,677,36002,147665
Pasco,Washington,25,40099,80205
Passaic,New Jersey,4,31013,69121
Pawtucket,Rhode Island,18,45609,75057
Pearland,Texas,41,61014,127170
Pembroke pines,Florida,57,49166,169875
Peoria,Arizona,72,48631,197862
Peoria,Illinois,72,48631,109221
Peoria,Arizona,72,40642,197862
Peoria,Illinois,72,40642,109221
Perris,California,17,37718,80258
Pflugerville,Texas,38,58965,65374
Philadelphia,Pennsylvania,434,43326,1567258
Phoenix,Arizona,719,45314,1644403
Pittsburg,California,36,48720,77585
Pittsburgh,Pennsylvania,640,46570,302905
Plano,Texas,236,59457,290108
Plantation,Florida,48,45078,96046
Pleasanton,California,208,118871,76689
Plymouth,Minnesota,154,68488,78669
Pomona,California,95,36562,146015
Pompano beach,Florida,74,37263,112308
Port st. lucie,Florida,38,42794,231804
Portland,Maine,756,46812,68420
Portland,Oregon,756,46812,635296
Portland,Maine,756,52941,68420
Portland,Oregon,756,52941,635296
Portsmouth,Virginia,119,40633,97029
Providence,Rhode Island,198,40032,189575
Provo,Utah,67,21600,113516
Pueblo,Colorado,53,40270,111449
Quincy,Massachusetts,83,57553,101716
Racine,Wisconsin,7,43313,76455
Raleigh,North Carolina,344,49465,477084
Rancho cordova,California,98,51374,80594
Rancho cucamonga,California,97,61127,176359
Reading,Pennsylvania,49,32495,94860
Redding,California,103,44435,92896
Redlands,California,102,49050,73853
Redmond,Washington,100,104677,76739
Redondo beach,California,44,89183,68908
Reno,Nevada,279,42316,273447
Renton,Washington,136,57361,104060
Rialto,California,21,35901,103564
Richardson,Texas,47,56402,118830
Richmond,California,569,46001,114287
Richmond,Virginia,569,46001,229395
Richmond,California,569,44259,114287
Richmond,Virginia,569,44259,229395
Rio rancho,New Mexico,5,44942,108072
Riverside,California,385,40538,320785
Roanoke,Virginia,76,39619,97847
Rochester,Minnesota,507,55604,121894
Rochester,New York,507,55604,209325
Rochester,Minnesota,507,37002,121894
Rochester,New York,507,37002,209325
Rochester hills,Michigan,18,62996,75947
Rock hill,South Carolina,59,37307,75361
Rockford,Illinois,45,37290,145835
Rocklin,California,77,64314,73850
Rockville,Maryland,199,63327,66915
Rogers,Arkansas,19,44068,72996
Roseville,California,222,65624,154826
Roswell,Georgia,71,64497,92945
Round rock,Texas,88,50140,124790
Rowlett,Texas,13,60454,65284
Sacramento,California,1259,48018,528026
Salem,Oregon,331,39754,177490
Salinas,California,112,36966,161019
Sammamish,Washington,17,128496,65844
San angelo,Texas,29,36049,99871
San antonio,Texas,452,36689,1472904
San bernardino,California,221,33312,220314
San diego,California,2236,55578,1381182
San francisco,California,1739,87231,808437
San jose,California,1881,64640,971265
San leandro,California,127,50957,86761
San marcos,California,143,46774,94855
San marcos,Texas,143,46774,70308
San marcos,California,143,28454,94855
San marcos,Texas,143,28454,70308
San mateo,California,282,87405,100996
San ramon,California,378,105981,85959
Sandy,Utah,104,49956,93029
Sandy springs,Georgia,77,72316,107767
Santa ana,California,191,35866,308203
Santa barbara,California,198,54459,87519
Santa clara,California,867,105434,126920
Santa clarita,California,189,59541,221362
Santa fe,New Mexico,124,40309,89001
Santa maria,California,101,31690,110124
Santa monica,California,556,76835,89951
Santa rosa,California,191,47476,177185
Savannah,Georgia,115,35649,147987
Schenectady,New York,236,36299,68810
Scottsdale,Arizona,455,64118,243027
Scranton,Pennsylvania,20,35463,75838
Seattle,Washington,1646,78269,749267
Shawnee,Kansas,53,56097,69220
Shreveport,Louisiana,20,32480,179551
Simi valley,California,57,55310,124395
Sioux falls,South Dakota,50,45753,202090
Somerville,Massachusetts,102,72442,79761
South bend,Indiana,32,37016,105984
South gate,California,16,32204,90935
South jordan,Utah,36,58307,83520
Southfield,Michigan,27,45876,75454
Sparks,Nevada,70,42734,109227
Spokane,Washington,181,42122,230176
Spokane valley,Washington,29,40713,107325
Springdale,Arkansas,75,38155,85844
Springfield,Illinois,468,43819,113331
Springfield,Massachusetts,468,43819,154058
Springfield,Missouri,468,43819,170062
Springfield,Illinois,468,37551,113331
Springfield,Massachusetts,468,37551,154058
Springfield,Missouri,468,37551,170062
Springfield,Illinois,468,32671,113331
Springfield,Massachusetts,468,32671,154058
Springfield,Missouri,468,32671,170062
St. charles,Missouri,35,55054,71190
St. cloud,Minnesota,12,36124,69813
St. george,Utah,45,40272,102523
St. joseph,Missouri,22,37205,70682
St. louis,Missouri,225,42372,286578
St. paul,Minnesota,107,44136,303160
St. petersburg,Florida,74,47005,261245
Stamford,Connecticut,121,56794,136197
Sterling heights,Michigan,10,46481,132554
Stockton,California,240,40941,321796
Suffolk,Virginia,9,52485,98537
Sugar land,Texas,29,62820,109395
Sunnyvale,California,592,101978,153076
Sunrise,Florida,39,42183,96291
Surprise,Arizona,38,49873,154194
Syracuse,New York,206,32482,144459
Tacoma,Washington,300,54303,221790
Tallahassee,Florida,81,33775,201728
Tamarac,Florida,9,38796,71915
Tampa,Florida,544,46983,398160
Temecula,California,120,51970,111763
Tempe,Arizona,255,43262,185939
Temple,Texas,69,38578,89455
Thornton,Colorado,71,52192,143279
Thousand oaks,California,151,65394,124257
Toledo,Ohio,78,37206,266289
Topeka,Kansas,59,41346,125464
Torrance,California,309,64335,141127
Tracy,California,92,52712,97328
Trenton,New Jersey,36,38592,89658
Troy,Michigan,235,66595,87182
Tucson,Arizona,281,35269,546598
Tulare,California,44,36659,70690
Tulsa,Oklahoma,231,37400,413142
Turlock,California,45,42043,72307
Tuscaloosa,Alabama,25,35651,110598
Tustin,California,160,52075,78412
Tyler,Texas,28,34212,109277
Union,California,52,65983,67049
Union,New Jersey,52,65983,65365
Union,California,52,35231,67049
