City,Fuel Type Code,State_evchargers,EV Total Port Count (Beta),State_file1,Median Income (16 and over),State,Total Population
Green bay,ELEC,WI,20.0,Wisconsin,40706.0,Wisconsin,106096.0
Greensboro,ELEC,NC,128.0,North Carolina,36327.0,North Carolina,301118.0
Greenville,ELEC,SC,229.0,North Carolina,37619.0,North Carolina,89222.0
Greenville,ELEC,SC,229.0,North Carolina,37619.0,South Carolina,72310.0
Greenville,ELEC,SC,229.0,South Carolina,43481.0,North Carolina,89222.0
Greenville,ELEC,SC,229.0,South Carolina,43481.0,South Carolina,72310.0
Gresham,ELEC,OR,21.0,Oregon,42882.0,Oregon,111634.0
Gulfport,ELEC,MS,128.0,Mississippi,34630.0,Mississippi,72228.0
Hammond,ELEC,LA,11.0,Indiana,37872.0,Indiana,76562.0
Hampton,ELEC,VA,62.0,Virginia,42845.0,Virginia,138037.0
Harlingen,ELEC,TX,17.0,Texas,34826.0,Texas,71669.0
Hartford,ELEC,CT,196.0,Connecticut,35498.0,Connecticut,120682.0
Haverhill,ELEC,MA,40.0,Massachusetts,50557.0,Massachusetts,67151.0
Hawthorne,ELEC,NV,81.0,California,40535.0,California,84564.0
Hayward,ELEC,CA,234.0,California,53171.0,California,156773.0
Hemet,ELEC,CA,10.0,California,38202.0,California,90688.0
Henderson,ELEC,NV,183.0,Nevada,50815.0,Nevada,331408.0
Hesperia,ELEC,CA,48.0,California,39369.0,California,100766.0
Hialeah,ELEC,FL,40.0,Florida,32474.0,Florida,220274.0
High point,ELEC,NC,14.0,North Carolina,41448.0,North Carolina,114339.0
Hillsboro,ELEC,OR,168.0,Oregon,56234.0,Oregon,107319.0
Hollywood,ELEC,FL,182.0,Florida,39085.0,Florida,152662.0
Homestead,ELEC,FL,47.0,Florida,37940.0,Florida,81559.0
Hoover,ELEC,AL,6.0,Alabama,58486.0,Alabama,92427.0
Houston,ELEC,TX,1424.0,Texas,40711.0,Texas,2304414.0
Huntington beach,ELEC,CA,122.0,California,64959.0,California,194306.0
Huntsville,ELEC,AL,151.0,Alabama,42391.0,Alabama,222363.0
Idaho falls,ELEC,ID,57.0,Idaho,40410.0,Idaho,67718.0
Independence,ELEC,KS,45.0,Missouri,42010.0,Missouri,121211.0
Indio,ELEC,CA,102.0,California,40704.0,California,91991.0
Inglewood,ELEC,CA,95.0,California,36652.0,California,103628.0
Iowa,ELEC,LA,16.0,Iowa,26331.0,Iowa,75231.0
Irvine,ELEC,CA,1287.0,California,76779.0,California,313705.0
Irving,ELEC,TX,149.0,Texas,44109.0,Texas,254712.0
Jackson,ELEC,MS,172.0,Mississippi,33059.0,Mississippi,146019.0
Jackson,ELEC,MS,172.0,Mississippi,33059.0,Tennessee,68381.0
Jackson,ELEC,MS,172.0,Tennessee,31933.0,Mississippi,146019.0
Jackson,ELEC,MS,172.0,Tennessee,31933.0,Tennessee,68381.0
Jacksonville,ELEC,FL,447.0,Florida,42787.0,Florida,971315.0
Jacksonville,ELEC,FL,447.0,Florida,42787.0,North Carolina,70433.0
Jacksonville,ELEC,FL,447.0,North Carolina,29725.0,Florida,971315.0
