City,Fuel Type Code,State_evchargers,EV Total Port Count (Beta),State_file1,Median Income (16 and over),State,Total Population
Aztec,ELEC,NM,2.0,,,,
Azusa,ELEC,CA,44.0,,,,
Babb,ELEC,MT,2.0,,,,
Babylon,ELEC,NY,4.0,,,,
Bad axe,ELEC,MI,7.0,,,,
Baden,ELEC,PA,4.0,,,,
Baileys harbor,ELEC,WI,5.0,,,,
Baileyville,ELEC,ME,8.0,,,,
Bainbridge island,ELEC,WA,16.0,,,,
Baiting hollow,ELEC,NY,4.0,,,,
Baker,ELEC,CA,71.0,,,,
Baker city,ELEC,OR,9.0,,,,
Bakerfield,ELEC,CA,2.0,,,,
Bakersfield,ELEC,CA,227.0,California,39683.0,California,410654.0
Bakersville,ELEC,NC,2.0,,,,
Bal harbor,ELEC,FL,8.0,,,,
Bal harbour,ELEC,FL,12.0,,,,
Bala cynwyd,ELEC,PA,10.0,,,,
Balch springs,ELEC,TX,2.0,,,,
Balcones heights,ELEC,TX,4.0,,,,
Baldwin,ELEC,WI,9.0,,,,
Baldwin park,ELEC,CA,58.0,California,32306.0,California,69450.0
Baldwin place,ELEC,NY,1.0,,,,
Baldwinsville,ELEC,NY,40.0,,,,
Ball ground,ELEC,GA,2.0,,,,
Ballinger,ELEC,TX,1.0,,,,
Ballston,ELEC,NY,4.0,,,,
Ballston lake,ELEC,NY,2.0,,,,
Ballston spa,ELEC,NY,68.0,,,,
Ballwin,ELEC,MO,7.0,,,,
Bally,ELEC,PA,2.0,,,,
Baltimore,ELEC,MD,921.0,Maryland,46458.0,Maryland,569931.0
Bamberg,ELEC,SC,5.0,,,,
Bandera,ELEC,TX,5.0,,,,
Bandon,ELEC,OR,22.0,,,,
Bangalore,ELEC,KA,1.0,,,,
Bangor,ELEC,ME,26.0,,,,
Banks,ELEC,OR,4.0,,,,
Banner elk,ELEC,NC,6.0,,,,
Banning,ELEC,CA,14.0,,,,
Bannockburn,ELEC,IL,4.0,,,,
Bar harbor,ELEC,ME,32.0,,,,
Baraboo,ELEC,WI,8.0,,,,
Barboursville,ELEC,WV,5.0,,,,
Bardonia,ELEC,NY,4.0,,,,
Bardstown,ELEC,KY,11.0,,,,
Barkhamsted,ELEC,CT,2.0,,,,
Barnard,ELEC,VT,16.0,,,,
Barnegat,ELEC,NJ,8.0,,,,
Barnegat township,ELEC,NJ,2.0,,,,
Barnstable,ELEC,MA,42.0,,,,
Barre,ELEC,VT,12.0,,,,
Barrington,ELEC,IL,35.0,,,,
Barron,ELEC,WI,1.0,,,,
Barstow,ELEC,CA,127.0,,,,
Bartlesville,ELEC,OK,15.0,,,,
Bartlett,ELEC,TN,17.0,,,,
Bartonsville,ELEC,PA,10.0,,,,
Bartow,ELEC,FL,9.0,,,,
Basalt,ELEC,CO,25.0,,,,
Basking ridge,ELEC,NJ,55.0,,,,
Bass harbor,ELEC,ME,1.0,,,,
Bastrop,ELEC,TX,23.0,,,,
Batavia,ELEC,OH,33.0,,,,
Batesville,ELEC,MS,18.0,,,,
Bath,ELEC,NY,11.0,,,,
Baton rouge,ELEC,LA,107.0,Louisiana,36469.0,Louisiana,221451.0
Battle creek,ELEC,MI,49.0,,,,
Battle ground,ELEC,WA,6.0,,,,
Battle mountain,ELEC,NV,4.0,,,,
Baxter,ELEC,MN,15.0,,,,
Baxter springs,ELEC,KS,4.0,,,,
Bay city,ELEC,MI,34.0,,,,
Bay harbor,ELEC,MI,4.0,,,,
Bay harbor islands,ELEC,FL,6.0,,,,
Bay lake,ELEC,FL,12.0,,,,
Bay minette,ELEC,AL,1.0,,,,
Bay pines,ELEC,FL,1.0,,,,
Bay point,ELEC,CA,2.0,,,,
Bay shore,ELEC,NY,35.0,,,,
Bay village,ELEC,OH,4.0,,,,
Bayamón,ELEC,PR,1.0,,,,
Bayberry,ELEC,NY,2.0,,,,
Bayfield,ELEC,CO,7.0,,,,
Bayport,ELEC,NY,5.0,,,,
Bayshore,ELEC,NY,6.0,,,,
Bayside,ELEC,NY,5.0,,,,
Baytown,ELEC,TX,42.0,Texas,39344.0,Texas,86203.0
Beach haven,ELEC,NJ,9.0,,,,
Beachwood,ELEC,OH,6.0,,,,
Beacon,ELEC,NY,24.0,,,,
Beacon falls,ELEC,CT,2.0,,,,
Bealeton,ELEC,VA,8.0,,,,
Bean station,ELEC,TN,2.0,,,,
Bear,ELEC,DE,10.0,,,,
Bear mountain,ELEC,NY,2.0,,,,
Bear valley,ELEC,CA,2.0,,,,
Beatrice,ELEC,NE,8.0,,,,
Beatty,ELEC,NV,10.0,,,,
Beaufort,ELEC,SC,17.0,,,,
Beaumont,ELEC,TX,88.0,Texas,36834.0,Texas,112090.0
Beaver,ELEC,UT,39.0,,,,
Beaver creek,ELEC,CO,11.0,,,,
Beaver dam,ELEC,WI,14.0,,,,
Beaver falls,ELEC,PA,2.0,,,,
Beavercreek,ELEC,OH,29.0,,,,
Beaverton,ELEC,OR,276.0,Oregon,54056.0,Oregon,97064.0
Becket,ELEC,MA,4.0,,,,
Beckley,ELEC,WV,4.0,,,,
Bedford,ELEC,TX,77.0,,,,
Bedford heights,ELEC,OH,3.0,,,,
Bedford hills,ELEC,NY,11.0,,,,
Bedminster,ELEC,NJ,12.0,,,,
Bee cave,ELEC,TX,14.0,,,,
Beebe,ELEC,AR,2.0,,,,
Beech island,ELEC,SC,3.0,,,,
Beeville,ELEC,TX,2.0,,,,
Bel air,ELEC,MD,61.0,,,,
Belair,ELEC,MD,2.0,,,,
Belcamp,ELEC,MD,2.0,,,,
Belchertown,ELEC,MA,2.0,,,,
Belfair,ELEC,WA,4.0,,,,
Belfast,ELEC,ME,8.0,,,,
Belgrade,ELEC,MT,10.0,,,,
Bell,ELEC,CA,8.0,,,,
Bell gardens,ELEC,CA,1.0,,,,
Bellaire,ELEC,MI,2.0,,,,
Bellbrook,ELEC,OH,4.0,,,,
Belle chasse,ELEC,LA,26.0,,,,
Belle mead,ELEC,NJ,4.0,,,,
Belle plaine,ELEC,KS,6.0,,,,
Belle vernon,ELEC,PA,7.0,,,,
Bellefontaine,ELEC,OH,6.0,,,,
Bellefonte,ELEC,PA,21.0,,,,
Belleville,ELEC,MI,10.0,,,,
Bellevue,ELEC,WA,633.0,Washington,98403.0,Washington,152765.0
Bellflower,ELEC,CA,43.0,California,40046.0,California,76405.0
Bellingham,ELEC,WA,108.0,Washington,36613.0,Washington,93899.0
Bellmawr,ELEC,NJ,3.0,,,,
Bellmead,ELEC,TX,28.0,,,,
Bellmore,ELEC,NY,4.0,,,,
Bellows falls,ELEC,VT,3.0,,,,
