"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"            Cuban","6,959","±2,108","0.1%","±0.1","2,304","±1,084","0.3%","±0.1","24,895","±5,277","0.3%","±0.1","2,162","±905","0.1%","±0.1","97,619","±6,928","0.3%","±0.1","14,021","±3,198","0.2%","±0.1","14,427","±4,150","0.4%","±0.1","2,753","±1,114","0.3%","±0.1","2,357","±966","0.4%","±0.1","1,556,305","±33,279","7.0%","±0.1","37,278","±5,479","0.3%","±0.1","2,610","±1,205","0.2%","±0.1","1,614","±790","0.1%","±0.1","30,785","±4,320","0.2%","±0.1","8,120","±2,441","0.1%","±0.1","5,306","±1,586","0.2%","±0.1","6,292","±2,369","0.2%","±0.1","22,646","±4,220","0.5%","±0.1","9,213","±2,235","0.2%","±0.1","1,187","±662","0.1%","±0.1","15,744","±3,643","0.3%","±0.1","15,242","±2,444","0.2%","±0.1","19,170","±3,327","0.2%","±0.1","7,420","±1,982","0.1%","±0.1","2,730","±1,117","0.1%","±0.1","8,442","±2,058","0.1%","±0.1","1,241","±651","0.1%","±0.1","6,703","±2,334","0.3%","±0.1","46,915","±6,730","1.5%","±0.2","1,084","±577","0.1%","±0.1","89,842","±9,387","1.0%","±0.1","8,013","±3,194","0.4%","±0.2","67,523","±6,310","0.3%","±0.1","35,888","±6,130","0.3%","±0.1","512","±334","0.1%","±0.1","11,532","±2,697","0.1%","±0.1","3,917","±1,151","0.1%","±0.1","9,235","±2,649","0.2%","±0.1","27,653","±4,647","0.2%","±0.1","1,994","±966","0.2%","±0.1","12,442","±2,563","0.2%","±0.1","954","±799","0.1%","±0.1","15,292","±2,897","0.2%","±0.1","129,482","±13,925","0.4%","±0.1","2,966","±1,305","0.1%","±0.1","669","±398","0.1%","±0.1","26,022","±4,293","0.3%","±0.1","10,971","±2,631","0.1%","±0.1","979","±446","0.1%","±0.1","5,451","±1,288","0.1%","±0.1","692","±608","0.1%","±0.1","14,053","±3,040","0.4%","±0.1"
"            Other Hispanic or Latino","77,774","±8,049","1.5%","±0.2","16,443","±2,310","2.2%","±0.3","269,419","±15,938","3.7%","±0.2","73,891","±7,534","2.4%","±0.2","2,742,464","±44,192","7.0%","±0.1","319,607","±17,176","5.5%","±0.3","283,925","±14,521","7.8%","±0.4","37,795","±4,225","3.7%","±0.4","51,347","±5,051","7.6%","±0.8","2,506,791","±43,778","11.3%","±0.2","397,295","±16,889","3.6%","±0.2","51,248","±5,160","3.6%","±0.4","45,023","±5,687","2.3%","±0.3","294,264","±16,495","2.3%","±0.1","112,944","±8,387","1.7%","±0.1","54,062","±4,794","1.7%","±0.1","68,692","±7,812","2.3%","±0.3","51,221","±5,512","1.1%","±0.1","157,302","±8,039","3.4%","±0.2","10,790","±2,054","0.8%","±0.1","512,516","±12,176","8.3%","±0.2","528,920","±13,167","7.6%","±0.2","115,406","±7,459","1.2%","±0.1","99,432","±7,734","1.7%","±0.1","34,511","±3,635","1.2%","±0.1","78,443","±5,452","1.3%","±0.1","11,269","±1,995","1.0%","±0.2","62,859","±6,749","3.2%","±0.3","184,369","±14,082","5.8%","±0.4","32,030","±4,112","2.3%","±0.3","1,232,537","±23,487","13.3%","±0.3","348,310","±14,944","16.5%","±0.7","2,294,858","±39,289","11.7%","±0.2","398,677","±17,941","3.7%","±0.2","9,356","±2,205","1.2%","±0.3","150,928","±10,788","1.3%","±0.1","85,888","±7,484","2.1%","±0.2","114,667","±9,488","2.7%","±0.2","424,529","±17,986","3.3%","±0.1","130,172","±7,798","11.9%","±0.7","116,111","±7,858","2.2%","±0.1","12,868","±2,942","1.4%","±0.3","159,129","±11,934","2.3%","±0.2","2,001,398","±50,497","6.7%","±0.2","138,080","±9,846","4.1%","±0.3","9,110","±934","1.4%","±0.1","565,924","±14,506","6.5%","±0.2","223,142","±11,470","2.9%","±0.1","13,615","±2,292","0.8%","±0.1","73,507","±6,129","1.2%","±0.1","13,258","±2,575","2.3%","±0.4","91,530","±7,819","2.8%","±0.2"
"        Not Hispanic or Latino","4,827,819","±1,821","95.1%","±0.1","677,092","*****","92.3%","*****","4,970,677","*****","67.5%","*****","2,790,221","±2,056","91.6%","±0.1","23,297,158","*****","59.7%","*****","4,524,964","*****","77.5%","*****","2,967,227","*****","81.8%","*****","913,096","*****","89.7%","*****","592,892","*****","88.3%","*****","16,219,784","*****","72.9%","*****","9,780,272","±1,773","89.6%","±0.1","1,280,093","*****","88.9%","*****","1,677,112","*****","86.5%","*****","10,282,306","±1,207","81.7%","±0.1","6,298,509","±1,776","92.2%","±0.1","2,982,493","±1,406","93.2%","±0.1","2,555,404","±444","87.0%","±0.1","4,324,827","±2,354","95.8%","±0.1","4,328,028","±1,014","94.3%","±0.1","1,356,623","±463","97.9%","±0.1","5,458,818","±459","88.6%","±0.1","6,070,936","±490","87.0%","±0.1","9,461,713","±502","94.3%","±0.1","5,383,354","±1,717","94.2%","±0.1","2,842,880","±2,619","96.7%","±0.1","5,886,194","±1,150","95.3%","±0.1","1,073,037","±190","95.6%","±0.1","1,726,025","±273","87.7%","±0.1","2,216,415","*****","69.7%","*****","1,331,752","±1,068","95.5%","±0.1","7,233,229","*****","78.1%","*****","1,053,477","*****","49.8%","*****","15,809,852","±942","80.3%","±0.1","9,584,174","±1,716","89.6%","±0.1","745,028","±782","95.6%","±0.1","11,238,826","±1,641","95.6%","±0.1","3,533,108","*****","87.9%","*****","3,630,599","*****","85.6%","*****","11,856,011","±597","91.4%","±0.1","901,755","*****","82.4%","*****","4,938,851","±1,234","93.5%","±0.1","867,394","±1,015","95.3%","±0.1","6,608,710","±1,896","93.7%","±0.1","17,958,930","±628","59.8%","±0.1","2,868,714","*****","84.9%","*****","632,294","±140","97.7%","±0.1","7,777,869","±1,222","89.6%","±0.1","6,692,473","*****","86.0%","*****","1,740,813","±1,894","98.1%","±0.1","5,445,517","±409","92.4%","±0.1","518,578","*****","89.2%","*****","31,650","±4,105","1.0%","±0.1"
"            White alone","3,250,182","±4,816","64.1%","±0.1","421,104","±2,359","57.4%","±0.3","3,814,587","±8,387","51.8%","±0.1","2,054,922","±11,363","67.5%","±0.4","13,160,426","±17,468","33.7%","±0.1","3,793,270","±7,190","65.0%","±0.1","2,246,913","±7,610","62.0%","±0.2","599,347","±2,246","58.9%","±0.2","246,745","±1,491","36.7%","±0.2","11,309,403","±16,737","50.8%","±0.1","5,415,657","±7,349","49.6%","±0.1","297,937","±2,399","20.7%","±0.2","1,531,219","±5,493","79.0%","±0.3","7,356,301","±10,250","58.5%","±0.1","5,192,455","±6,936","76.0%","±0.1","2,650,110","±4,128","82.8%","±0.1","2,147,943","±4,739","73.1%","±0.2","3,710,998","±5,181","82.2%","±0.1","2,603,221","±6,427","56.7%","±0.1","1,249,233","±3,975","90.2%","±0.3","2,906,492","±7,741","47.1%","±0.1","4,676,627","±12,016","67.0%","±0.2","7,289,051","±9,716","72.6%","±0.1","4,356,347","±7,423","76.2%","±0.1","1,625,979","±4,397","55.3%","±0.1","4,733,411","±9,451","76.6%","±0.2","937,365","±5,141","83.5%","±0.5","1,492,005","±3,529","75.8%","±0.2","1,410,145","±6,629","44.4%","±0.2","1,208,101","±5,202","86.6%","±0.4","4,766,476","±10,640","51.5%","±0.1","735,478","±3,401","34.8%","±0.2","10,408,933","±15,073","52.9%","±0.1","6,497,519","±8,757","60.7%","±0.1","639,297","±2,180","82.0%","±0.3","8,948,793","±10,821","76.1%","±0.1","2,517,403","±3,308","62.6%","±0.1","3,037,571","±6,864","71.6%","±0.2","9,487,228","±13,450","73.1%","±0.1","745,825","±4,066","68.2%","±0.4","3,301,739","±6,854","62.5%","±0.1","726,885","±2,922","79.9%","±0.3","5,070,026","±7,225","71.9%","±0.1","11,683,430","±16,009","38.9%","±0.1","2,557,466","±5,956","75.6%","±0.2","583,546","±2,410","90.2%","±0.4","5,095,130","±9,042","58.7%","±0.1","4,941,456","±10,326","63.5%","±0.1","1,594,128","±3,819","89.8%","±0.2","4,654,031","±5,614","79.0%","±0.1","473,220","±2,831","81.4%","±0.5","17,726","±2,673","0.6%","±0.1"
"            Black or African American alone","1,296,500","±9,551","25.6%","±0.2","20,664","±3,311","2.8%","±0.5","322,459","±9,993","4.4%","±0.1","435,637","±6,825","14.3%","±0.2","2,025,218","±18,096","5.2%","±0.1","220,756","±6,628","3.8%","±0.1","353,973","±7,751","9.8%","±0.2","220,010","±3,936","21.6%","±0.4","279,809","±3,701","41.7%","±0.6","3,241,015","±20,490","14.6%","±0.1","3,349,240","±19,904","30.7%","±0.2","23,682","±1,716","1.6%","±0.1","11,868","±1,592","0.6%","±0.1","1,660,423","±15,966","13.2%","±0.1","628,054","±9,598","9.2%","±0.1","119,004","±6,136","3.7%","±0.2","147,666","±5,579","5.0%","±0.2","343,194","±8,795","7.6%","±0.2","1,420,055","±10,457","30.9%","±0.2","21,583","±2,611","1.6%","±0.2","1,800,914","±11,250","29.2%","±0.2","459,740","±10,286","6.6%","±0.1","1,310,464","±12,931","13.1%","±0.1","395,179","±7,858","6.9%","±0.1","1,072,962","±8,016","36.5%","±0.3","656,739","±9,442","10.6%","±0.2","3,428","±824","0.3%","±0.1","89,520","±4,004","4.5%","±0.2","286,471","±7,743","9.0%","±0.2","17,931","±2,572","1.3%","±0.2","1,111,632","±13,436","12.0%","±0.1","36,870","±3,158","1.7%","±0.1","2,633,840","±19,032","13.4%","±0.1","2,155,650","±16,325","20.1%","±0.2","25,426","±2,550","3.3%","±0.3","1,401,403","±16,476","11.9%","±0.1","268,543","±6,512","6.7%","±0.2","78,228","±4,567","1.8%","±0.1","1,311,581","±10,711","10.1%","±0.1","51,326","±5,240","4.7%","±0.5","1,313,290","±10,089","24.9%","±0.2","18,053","±2,326","2.0%","±0.3","1,089,738","±9,823","15.5%","±0.1","3,508,706","±21,694","11.7%","±0.1","34,873","±4,188","1.0%","±0.1","6,264","±1,121","1.0%","±0.2","1,594,785","±9,893","18.4%","±0.1","299,537","±8,573","3.8%","±0.1","59,390","±3,496","3.3%","±0.2","345,678","±6,064","5.9%","±0.1","3,990","±912","0.7%","±0.2","4,088","±1,465","0.1%","±0.1"
"            American Indian and Alaska Native alone","12,694","±1,584","0.3%","±0.1","93,294","±3,874","12.7%","±0.5","241,688","±6,199","3.3%","±0.1","12,680","±1,528","0.4%","±0.1","103,030","±4,759","0.3%","±0.1","23,389","±2,804","0.4%","±0.1","3,428","±706","0.1%","±0.1","1,276","±470","0.1%","±0.1","1,012","±445","0.2%","±0.1","22,504","±2,356","0.1%","±0.1","11,923","±2,301","0.1%","±0.1","1,830","±598","0.1%","±0.1","15,825","±1,461","0.8%","±0.1","10,405","±1,647","0.1%","±0.1","5,866","±1,175","0.1%","±0.1","5,346","±871","0.2%","±0.1","12,065","±1,327","0.4%","±0.1","4,302","±1,376","0.1%","±0.1","19,991","±2,495","0.4%","±0.1","5,205","±763","0.4%","±0.1","8,930","±2,008","0.1%","±0.1","5,838","±1,140","0.1%","±0.1","29,011","±2,636","0.3%","±0.1","42,125","±2,376","0.7%","±0.1","12,457","±1,798","0.4%","±0.1","12,313","±1,381","0.2%","±0.1","58,748","±2,412","5.2%","±0.2","10,249","±1,553","0.5%","±0.1","17,616","±2,026","0.6%","±0.1","1,014","±402","0.1%","±0.1","8,557","±1,757","0.1%","±0.1","171,808","±3,835","8.1%","±0.2","35,082","±2,750","0.2%","±0.1","91,758","±2,907","0.9%","±0.1","33,252","±2,371","4.3%","±0.3","9,785","±1,842","0.1%","±0.1","273,650","±6,306","6.8%","±0.2","29,399","±2,890","0.7%","±0.1","10,130","±2,777","0.1%","±0.1","978","±482","0.1%","±0.1","12,112","±2,917","0.2%","±0.1","64,666","±2,998","7.1%","±0.3","6,387","±1,415","0.1%","±0.1","47,023","±4,149","0.2%","±0.1","22,803","±1,807","0.7%","±0.1","1,052","±475","0.2%","±0.1","11,738","±1,773","0.1%","±0.1","69,024","±4,085","0.9%","±0.1","1,880","±869","0.1%","±0.1","33,762","±2,060","0.6%","±0.1","9,589","±1,012","1.6%","±0.2","0","±244","0.0%","±0.1"
"            Asian alone","76,682","±3,763","1.5%","±0.1","44,905","±2,803","6.1%","±0.4","257,020","±5,094","3.5%","±0.1","47,592","±2,837","1.6%","±0.1","5,957,867","±21,996","15.3%","±0.1","182,658","±4,881","3.1%","±0.1","172,929","±3,712","4.8%","±0.1","41,350","±1,744","4.1%","±0.2","27,250","±1,379","4.1%","±0.2","623,692","±10,461","2.8%","±0.1","479,156","±6,787","4.4%","±0.1","498,125","±9,030","34.6%","±0.6","25,174","±2,180","1.3%","±0.1","747,296","±7,022","5.9%","±0.1","172,880","±4,073","2.5%","±0.1","74,892","±3,163","2.3%","±0.1","85,085","±2,293","2.9%","±0.1","62,240","±3,724","1.4%","±0.1","81,169","±3,073","1.8%","±0.1","16,151","±1,479","1.2%","±0.1","401,818","±6,153","6.5%","±0.1","501,463","±6,495","7.2%","±0.1","335,732","±5,731","3.3%","±0.1","294,800","±6,161","5.2%","±0.1","25,217","±2,377","0.9%","±0.1","132,436","±3,871","2.1%","±0.1","7,700","±1,292","0.7%","±0.1","49,261","±2,256","2.5%","±0.1","281,149","±5,381","8.8%","±0.2","36,519","±2,733","2.6%","±0.2","923,546","±7,159","10.0%","±0.1","35,870","±2,286","1.7%","±0.1","1,776,286","±11,892","9.0%","±0.1","341,052","±6,080","3.2%","±0.1","12,271","±1,353","1.6%","±0.2","293,387","±6,237","2.5%","±0.1","92,672","±3,405","2.3%","±0.1","191,283","±5,984","4.5%","±0.1","487,124","±6,505","3.8%","±0.1","37,234","±1,818","3.4%","±0.2","89,888","±3,453","1.7%","±0.1","12,874","±1,534","1.4%","±0.2","131,817","±4,267","1.9%","±0.1","1,608,173","±12,818","5.4%","±0.1","82,388","±3,851","2.4%","±0.1","11,512","±1,361","1.8%","±0.2","602,881","±7,309","6.9%","±0.1","755,832","±8,721","9.7%","±0.1","13,134","±1,647","0.7%","±0.1","172,242","±4,212","2.9%","±0.1","3,577","±936","0.6%","±0.2","2,671","±1,068","0.1%","±0.1"
"            Native Hawaiian and Other Pacific Islander alone","1,954","±946","0.0%","±0.1","14,539","±1,985","2.0%","±0.3","13,887","±1,934","0.2%","±0.1","14,176","±2,229","0.5%","±0.1","135,777","±5,673","0.3%","±0.1","6,339","±1,179","0.1%","±0.1","592","±531","0.0%","±0.1","0","±203","0.0%","±0.1","709","±435","0.1%","±0.1","9,486","±1,754","0.0%","±0.1","6,957","±2,869","0.1%","±0.1","134,567","±5,389","9.3%","±0.4","3,162","±1,039","0.2%","±0.1","3,896","±1,907","0.0%","±0.1","2,545","±946","0.0%","±0.1","8,595","±3,099","0.3%","±0.1","4,020","±2,216","0.1%","±0.1","3,170","±1,919","0.1%","±0.1","2,279","±1,533","0.0%","±0.1","221","±178","0.0%","±0.1","2,417","±1,231","0.0%","±0.1","976","±658","0.0%","±0.1","2,207","±788","0.0%","±0.1","2,278","±596","0.0%","±0.1","397","±329","0.0%","±0.1","7,528","±1,640","0.1%","±0.1","1,612","±1,215","0.1%","±0.1","1,066","±765","0.1%","±0.1","20,102","±2,319","0.6%","±0.1","848","±787","0.1%","±0.1","934","±590","0.0%","±0.1","785","±408","0.0%","±0.1","6,931","±2,037","0.0%","±0.1","9,954","±3,125","0.1%","±0.1","2,745","±2,166","0.4%","±0.3","3,362","±1,390","0.0%","±0.1","5,601","±1,798","0.1%","±0.1","15,643","±1,914","0.4%","±0.1","2,424","±867","0.0%","±0.1","140","±146","0.0%","±0.1","1,924","±1,269","0.0%","±0.1","796","±703","0.1%","±0.1","4,389","±1,492","0.1%","±0.1","29,275","±4,022","0.1%","±0.1","36,978","±2,101","1.1%","±0.1","59","±18","0.0%","±0.1","6,869","±2,396","0.1%","±0.1","52,231","±3,220","0.7%","±0.1","111","±179","0.0%","±0.1","2,592","±1,856","0.0%","±0.1","294","±313","0.1%","±0.1","0","±244","0.0%","±0.1"
"            Some Other Race alone","19,927","±4,843","0.4%","±0.1","4,034","±1,565","0.5%","±0.2","36,042","±6,266","0.5%","±0.1","11,530","±3,593","0.4%","±0.1","251,618","±16,525","0.6%","±0.1","29,798","±3,721","0.5%","±0.1","29,761","±4,518","0.8%","±0.1","5,097","±2,010","0.5%","±0.2","3,823","±1,356","0.6%","±0.2","152,054","±13,411","0.7%","±0.1","54,416","±6,109","0.5%","±0.1","5,378","±1,488","0.4%","±0.1","8,752","±2,459","0.5%","±0.1","45,386","±6,480","0.4%","±0.1","33,467","±5,298","0.5%","±0.1","9,260","±2,238","0.3%","±0.1","13,263","±2,597","0.5%","±0.1","13,529","±3,392","0.3%","±0.1","18,043","±3,557","0.4%","±0.1","5,873","±1,736","0.4%","±0.1","46,930","±6,822","0.8%","±0.1","84,403","±8,787","1.2%","±0.1","45,217","±5,544","0.5%","±0.1","32,976","±5,766","0.6%","±0.1","9,501","±3,149","0.3%","±0.1","27,467","±4,325","0.4%","±0.1","9,012","±4,844","0.8%","±0.4","7,425","±2,436","0.4%","±0.1","18,781","±3,940","0.6%","±0.1","6,615","±2,375","0.5%","±0.2","89,847","±10,988","1.0%","±0.1","7,582","±1,865","0.4%","±0.1","216,110","±14,050","1.1%","±0.1","50,180","±7,455","0.5%","±0.1","3,206","±1,034","0.4%","±0.1","52,805","±7,165","0.4%","±0.1","10,786","±1,732","0.3%","±0.1","25,731","±3,955","0.6%","±0.1","63,582","±8,665","0.5%","±0.1","9,514","±2,847","0.9%","±0.3","29,390","±5,465","0.6%","±0.1","3,136","±2,431","0.3%","±0.3","26,972","±4,632","0.4%","±0.1","125,763","±11,426","0.4%","±0.1","14,898","±4,834","0.4%","±0.1","2,521","±1,217","0.4%","±0.2","60,419","±6,807","0.7%","±0.1","50,945","±7,315","0.7%","±0.1","5,238","±1,874","0.3%","±0.1","19,680","±3,383","0.3%","±0.1","4,997","±2,356","0.9%","±0.4","3,573","±1,473","0.1%","±0.1"
"            Two or More Races","169,880","±9,324","3.3%","±0.2","78,552","±7,321","10.7%","±1.0","284,994","±14,335","3.9%","±0.2","213,684","±14,464","7.0%","±0.5","1,663,222","±32,605","4.3%","±0.1","268,754","±11,280","4.6%","±0.2","159,631","±10,908","4.4%","±0.3","46,016","±4,409","4.5%","±0.4","33,544","±4,208","5.0%","±0.6","861,630","±22,327","3.9%","±0.1","462,923","±19,251","4.2%","±0.2","318,574","±11,815","22.1%","±0.8","81,112","±5,504","4.2%","±0.3","458,599","±17,597","3.6%","±0.1","263,242","±11,660","3.9%","±0.2","115,286","±6,892","3.6%","±0.2","145,362","±7,007","4.9%","±0.2","187,394","±10,039","4.2%","±0.2","183,270","±11,850","4.0%","±0.3","58,357","±4,537","4.2%","±0.3","291,317","±13,499","4.7%","±0.2","341,889","±14,989","4.9%","±0.2","450,031","±14,640","4.5%","±0.1","259,649","±11,353","4.5%","±0.2","96,367","±8,236","3.3%","±0.3","316,300","±13,034","5.1%","±0.2","55,172","±3,836","4.9%","±0.3","76,499","±5,473","3.9%","±0.3","182,151","±11,221","5.7%","±0.4","60,724","±5,507","4.4%","±0.4","332,237","±18,071","3.6%","±0.2","65,084","±5,822","3.1%","±0.3","732,670","±24,301","3.7%","±0.1","438,061","±19,855","4.1%","±0.2","28,831","±4,281","3.7%","±0.5","529,291","±21,305","4.5%","±0.2","364,453","±10,635","9.1%","±0.3","252,744","±10,440","6.0%","±0.2","493,942","±18,014","3.8%","±0.1","56,738","±6,072","5.2%","±0.6","190,508","±10,973","3.6%","±0.2","40,984","±4,111","4.5%","±0.5","279,381","±11,357","4.0%","±0.2","956,560","±29,483","3.2%","±0.1","119,308","±7,108","3.5%","±0.2","27,340","±2,838","4.2%","±0.4","406,047","±13,841","4.7%","±0.2","523,448","±16,401","6.7%","±0.2","66,932","±5,822","3.8%","±0.3","217,532","±9,154","3.7%","±0.2","22,911","±2,282","3.9%","±0.4","3,592","±2,474","0.1%","±0.1"
"                Two races including Some Other Race","23,323","±3,018","0.5%","±0.1","7,898","±2,328","1.1%","±0.3","54,738","±6,974","0.7%","±0.1","98,385","±11,449","3.2%","±0.4","296,327","±14,731","0.8%","±0.1","68,712","±6,741","1.2%","±0.1","56,729","±6,605","1.6%","±0.2","10,984","±2,393","1.1%","±0.2","5,072","±1,278","0.8%","±0.2","275,104","±14,381","1.2%","±0.1","76,701","±7,299","0.7%","±0.1","8,031","±2,383","0.6%","±0.2","25,853","±4,640","1.3%","±0.2","109,959","±9,123","0.9%","±0.1","51,458","±6,355","0.8%","±0.1","23,796","±3,375","0.7%","±0.1","24,424","±4,226","0.8%","±0.1","36,395","±4,704","0.8%","±0.1","41,638","±6,129","0.9%","±0.1","23,012","±3,679","1.7%","±0.3","55,941","±6,229","0.9%","±0.1","161,955","±12,302","2.3%","±0.2","107,500","±8,607","1.1%","±0.1","59,104","±5,270","1.0%","±0.1","19,589","±4,205","0.7%","±0.1","91,431","±8,837","1.5%","±0.1","12,020","±2,045","1.1%","±0.2","16,047","±2,650","0.8%","±0.1","33,305","±5,968","1.0%","±0.2","23,017","±4,612","1.6%","±0.3","109,067","±11,830","1.2%","±0.1","17,503","±2,893","0.8%","±0.1","250,207","±16,663","1.3%","±0.1","67,507","±7,895","0.6%","±0.1","5,222","±2,044","0.7%","±0.3","109,964","±8,967","0.9%","±0.1","25,258","±3,078","0.6%","±0.1","60,484","±5,801","1.4%","±0.1","137,851","±10,837","1.1%","±0.1","23,310","±4,114","2.1%","±0.4","35,206","±6,075","0.7%","±0.1","5,179","±1,567","0.6%","±0.2","49,729","±6,340","0.7%","±0.1","196,367","±13,308","0.7%","±0.1","22,716","±4,200","0.7%","±0.1","9,158","±2,086","1.4%","±0.3","66,459","±7,244","0.8%","±0.1","100,305","±10,531","1.3%","±0.1","17,224","±3,531","1.0%","±0.2","51,594","±5,320","0.9%","±0.1","6,611","±1,942","1.1%","±0.3","773","±540","0.0%","±0.1"
